1,5,0,5
2,5,1,5
3,5,2,5
4,5,3,5
5,5,3,6
6,5,3,7
7,5,2,7
8,5,1,7
9,5,0,7
10,5,4,6
11,6,0,5
12,6,1,5
13,6,2,5
14,6,3,5
15,6,3,6
16,6,3,7
17,6,2,7
18,6,1,7
19,6,0,7
20,6,4,6
21,7,0,5
22,7,1,5
23,7,2,5
24,7,3,5
25,7,3,6
26,7,3,7
27,7,2,7
28,7,1,7
29,7,0,7
30,7,4,6
31,8,0,5
32,8,1,5
33,8,2,5
34,8,3,5
35,8,3,6
36,8,3,7
37,8,2,7
38,8,1,7
39,8,0,7
40,8,4,6
41,9,0,5
42,9,1,5
43,9,2,5
44,9,3,5
45,9,3,6
46,9,3,7
47,9,2,7
48,9,1,7
49,9,0,7
50,9,4,6
51,5,0,4
52,5,0,3
53,5,0,2
54,5,0,1
55,5,0,0
56,5,0,8
57,5,0,9
58,5,0,10
59,5,0,11
